symbol,market,contract_status,earliest_date,latest_date,total_months_available,total_data_types,available_data_types,trades_range,aggTrades_range,klines_range,bookTicker_range,fundingRate_range,markPriceKlines_range,indexPriceKlines_range,premiumIndexKlines_range
DEGOUSDT,futures/um,DELISTED_HISTORICAL,2024-12,2026-04,17,7,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2024-12 to 2026-04,2024-12 to 2026-04,2024-12 to 2026-04,N/A,2024-12 to 2026-04,2024-12 to 2026-04,2024-12 to 2026-04,2024-12 to 2026-04
DELLUSDT,futures/um,ACTIVE_PERPETUAL,2026-06,2026-08,3,7,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2026-06 to 2026-08,2026-06 to 2026-08,2026-06 to 2026-08,N/A,2026-06 to 2026-08,2026-06 to 2026-08,2026-06 to 2026-08,2026-06 to 2026-08
DENTUSDT,futures/um,DELISTED_HISTORICAL,2021-03,2026-04,62,8,aggTrades; bookTicker; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2021-03 to 2026-04,2021-03 to 2026-04,2021-03 to 2026-04,2023-05 to 2024-04,2021-03 to 2026-04,2021-03 to 2026-04,2021-03 to 2026-04,2021-03 to 2026-04
DEXEUSDT,futures/um,ACTIVE_PERPETUAL,2024-12,2026-08,21,7,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2024-12 to 2026-08,2024-12 to 2026-08,2024-12 to 2026-08,N/A,2024-12 to 2026-08,2024-12 to 2026-08,2024-12 to 2026-08,2024-12 to 2026-08
DFUSDT,futures/um,DELISTED_HISTORICAL,2024-12,2026-02,15,7,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2024-12 to 2026-02,2024-12 to 2026-02,2024-12 to 2026-02,N/A,2024-12 to 2026-02,2024-12 to 2026-02,2024-12 to 2026-02,2024-12 to 2026-02
DGBUSDT,futures/um,DELISTED_HISTORICAL,2021-04,2024-04,37,8,aggTrades; bookTicker; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2021-04 to 2024-04,2021-04 to 2024-04,2021-04 to 2024-04,2023-05 to 2024-04,2021-04 to 2024-04,2021-04 to 2024-04,2021-04 to 2024-04,2021-04 to 2024-04
DIAUSDT,futures/um,ACTIVE_PERPETUAL,2024-10,2026-08,23,7,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2024-10 to 2026-08,2024-10 to 2026-08,2024-10 to 2026-08,N/A,2024-10 to 2026-08,2024-10 to 2026-08,2024-10 to 2026-08,2024-10 to 2026-08
DISUSDT,futures/um,ACTIVE_PERPETUAL,2026-05,2026-08,4,7,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2026-05 to 2026-08,2026-05 to 2026-08,2026-05 to 2026-08,N/A,2026-05 to 2026-08,2026-05 to 2026-08,2026-05 to 2026-08,2026-05 to 2026-08
DJTUSDT,futures/um,ACTIVE_PERPETUAL,2026-08,2026-08,1,7,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2026-08 to 2026-08,2026-08 to 2026-08,2026-08 to 2026-08,N/A,2026-08 to 2026-08,2026-08 to 2026-08,2026-08 to 2026-08,2026-08 to 2026-08
DKNGUSDT,futures/um,ACTIVE_PERPETUAL,2026-06,2026-08,3,7,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2026-06 to 2026-08,2026-06 to 2026-08,2026-06 to 2026-08,N/A,2026-06 to 2026-08,2026-06 to 2026-08,2026-06 to 2026-08,2026-06 to 2026-08
DMCUSDT,futures/um,DELISTED_HISTORICAL,2025-06,2026-01,8,7,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2025-06 to 2026-01,2025-06 to 2026-01,2025-06 to 2026-01,N/A,2025-06 to 2026-01,2025-06 to 2026-01,2025-06 to 2026-01,2025-06 to 2026-01
DODOBUSD,futures/um,DELISTED_BUSD,2022-05,2023-08,16,8,aggTrades; bookTicker; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2022-05 to 2023-08,2022-05 to 2023-08,2022-05 to 2023-08,2023-05 to 2023-08,2022-05 to 2023-08,2022-05 to 2023-08,2022-05 to 2023-08,2022-05 to 2023-08
DODOUSDT,futures/um,DELISTED_HISTORICAL,2021-02,2022-05,16,7,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2021-02 to 2022-05,2021-02 to 2022-05,2021-02 to 2022-05,N/A,2021-02 to 2022-05,2021-02 to 2022-05,2021-02 to 2022-05,2021-02 to 2022-05
DODOXUSDT,futures/um,ACTIVE_PERPETUAL,2023-08,2026-08,37,8,aggTrades; bookTicker; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2023-08 to 2026-08,2023-08 to 2026-08,2023-08 to 2026-08,2023-08 to 2024-04,2023-08 to 2026-08,2023-08 to 2026-08,2023-08 to 2026-08,2023-08 to 2026-08
DOGEBUSD,futures/um,DELISTED_BUSD,2021-08,2023-08,25,8,aggTrades; bookTicker; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2021-08 to 2023-08,2021-08 to 2023-08,2021-08 to 2023-08,2023-05 to 2023-08,2021-08 to 2023-08,2021-08 to 2023-08,2021-08 to 2023-08,2021-08 to 2023-08
DOGEUSDC,futures/um,ACTIVE_PERPETUAL,2024-01,2026-08,32,8,aggTrades; bookTicker; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2024-01 to 2026-08,2024-01 to 2026-08,2024-01 to 2026-08,2024-01 to 2024-04,2024-01 to 2026-08,2024-01 to 2026-08,2024-01 to 2026-08,2024-01 to 2026-08
DOGEUSDT,futures/um,ACTIVE_PERPETUAL,2020-07,2026-08,74,8,aggTrades; bookTicker; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2020-07 to 2026-08,2020-07 to 2026-08,2020-07 to 2026-08,2023-05 to 2024-04,2020-07 to 2026-08,2020-07 to 2026-08,2020-07 to 2026-08,2020-07 to 2026-08
DOGSUSDT,futures/um,ACTIVE_PERPETUAL,2024-08,2026-08,25,7,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2024-08 to 2026-08,2024-08 to 2026-08,2024-08 to 2026-08,N/A,2024-08 to 2026-08,2024-08 to 2026-08,2024-08 to 2026-08,2024-08 to 2026-08
DOLOUSDT,futures/um,ACTIVE_PERPETUAL,2025-05,2026-08,16,7,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2025-05 to 2026-08,2025-05 to 2026-08,2025-05 to 2026-08,N/A,2025-05 to 2026-08,2025-05 to 2026-08,2025-05 to 2026-08,2025-05 to 2026-08
DOODUSDT,futures/um,ACTIVE_PERPETUAL,2025-05,2026-08,16,7,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2025-05 to 2026-08,2025-05 to 2026-08,2025-05 to 2026-08,N/A,2025-05 to 2026-08,2025-05 to 2026-08,2025-05 to 2026-08,2025-05 to 2026-08
DOSUSDT,futures/um,ACTIVE_PERPETUAL,2026-08,2026-08,1,7,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2026-08 to 2026-08,2026-08 to 2026-08,2026-08 to 2026-08,N/A,2026-08 to 2026-08,2026-08 to 2026-08,2026-08 to 2026-08,2026-08 to 2026-08
