symbol,market,contract_status,earliest_date,latest_date,total_months_available,total_data_types,available_data_types,trades_range,aggTrades_range,klines_range,bookTicker_range,fundingRate_range,markPriceKlines_range,indexPriceKlines_range,premiumIndexKlines_range
SCRTUSDT,futures/um,ACTIVE_PERPETUAL,2024-11,2026-08,22,7,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2024-11 to 2026-08,2024-11 to 2026-08,2024-11 to 2026-08,N/A,2024-11 to 2026-08,2024-11 to 2026-08,2024-11 to 2026-08,2024-11 to 2026-08
SCRUSDT,futures/um,ACTIVE_PERPETUAL,2024-10,2026-08,23,7,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2024-10 to 2026-08,2024-10 to 2026-08,2024-10 to 2026-08,N/A,2024-10 to 2026-08,2024-10 to 2026-08,2024-10 to 2026-08,2024-10 to 2026-08
SCUSDT,futures/um,DELISTED_HISTORICAL,2021-04,2022-06,15,7,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2021-04 to 2022-06,2021-04 to 2022-06,2021-04 to 2022-06,N/A,2021-04 to 2022-06,2021-04 to 2022-06,2021-04 to 2022-06,2021-04 to 2022-06
SEIUSDT,futures/um,ACTIVE_PERPETUAL,2023-08,2026-08,37,8,aggTrades; bookTicker; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2023-08 to 2026-08,2023-08 to 2026-08,2023-08 to 2026-08,2023-08 to 2024-04,2023-08 to 2026-08,2023-08 to 2026-08,2023-08 to 2026-08,2023-08 to 2026-08
SENTUSDT,futures/um,ACTIVE_PERPETUAL,2025-11,2026-08,10,7,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2025-11 to 2026-08,2025-11 to 2026-08,2025-11 to 2026-08,N/A,2025-11 to 2026-08,2025-11 to 2026-08,2025-11 to 2026-08,2025-11 to 2026-08
SFPUSDT,futures/um,ACTIVE_PERPETUAL,2021-02,2026-08,67,8,aggTrades; bookTicker; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2021-02 to 2026-08,2021-02 to 2026-08,2021-02 to 2026-08,2023-05 to 2024-04,2021-02 to 2026-08,2021-02 to 2026-08,2021-02 to 2026-08,2021-02 to 2026-08
SHAZUSDT,futures/um,ACTIVE_PERPETUAL,2026-07,2026-08,2,7,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2026-07 to 2026-08,2026-07 to 2026-08,2026-07 to 2026-08,N/A,2026-07 to 2026-08,2026-07 to 2026-08,2026-07 to 2026-08,2026-07 to 2026-08
SHELLUSDT,futures/um,ACTIVE_PERPETUAL,2025-02,2026-08,19,7,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2025-02 to 2026-08,2025-02 to 2026-08,2025-02 to 2026-08,N/A,2025-02 to 2026-08,2025-02 to 2026-08,2025-02 to 2026-08,2025-02 to 2026-08
SHOPUSDT,futures/um,ACTIVE_PERPETUAL,2026-08,2026-08,1,7,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2026-08 to 2026-08,2026-08 to 2026-08,2026-08 to 2026-08,N/A,2026-08 to 2026-08,2026-08 to 2026-08,2026-08 to 2026-08,2026-08 to 2026-08
SIGNUSDT,futures/um,ACTIVE_PERPETUAL,2025-04,2026-08,17,7,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2025-04 to 2026-08,2025-04 to 2026-08,2025-04 to 2026-08,N/A,2025-04 to 2026-08,2025-04 to 2026-08,2025-04 to 2026-08,2025-04 to 2026-08
SIRENUSDT,futures/um,ACTIVE_PERPETUAL,2025-03,2026-08,18,7,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2025-03 to 2026-08,2025-03 to 2026-08,2025-03 to 2026-08,N/A,2025-03 to 2026-08,2025-03 to 2026-08,2025-03 to 2026-08,2025-03 to 2026-08
SKATEUSDT,futures/um,DELISTED_HISTORICAL,2025-06,2025-12,7,7,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2025-06 to 2025-12,2025-06 to 2025-12,2025-06 to 2025-12,N/A,2025-06 to 2025-12,2025-06 to 2025-12,2025-06 to 2025-12,2025-06 to 2025-12
SKDDUSDT,futures/um,ACTIVE_PERPETUAL,2026-08,2026-08,1,7,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2026-08 to 2026-08,2026-08 to 2026-08,2026-08 to 2026-08,N/A,2026-08 to 2026-08,2026-08 to 2026-08,2026-08 to 2026-08,2026-08 to 2026-08
SKHYNIXUSDT,futures/um,ACTIVE_PERPETUAL,2026-06,2026-08,3,7,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2026-06 to 2026-08,2026-06 to 2026-08,2026-06 to 2026-08,N/A,2026-06 to 2026-08,2026-06 to 2026-08,2026-06 to 2026-08,2026-06 to 2026-08
SKHYUSDT,futures/um,ACTIVE_PERPETUAL,2026-07,2026-08,2,7,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2026-07 to 2026-08,2026-07 to 2026-08,2026-07 to 2026-08,N/A,2026-07 to 2026-08,2026-07 to 2026-08,2026-07 to 2026-08,2026-07 to 2026-08
SKLUSDT,futures/um,ACTIVE_PERPETUAL,2020-12,2026-08,69,8,aggTrades; bookTicker; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2020-12 to 2026-08,2020-12 to 2026-08,2020-12 to 2026-08,2023-05 to 2024-04,2020-12 to 2026-08,2020-12 to 2026-08,2020-12 to 2026-08,2020-12 to 2026-08
SKRUSDT,futures/um,ACTIVE_PERPETUAL,2026-01,2026-08,8,7,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2026-01 to 2026-08,2026-01 to 2026-08,2026-01 to 2026-08,N/A,2026-01 to 2026-08,2026-01 to 2026-08,2026-01 to 2026-08,2026-01 to 2026-08
SKUUUSDT,futures/um,ACTIVE_PERPETUAL,2026-08,2026-08,1,7,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2026-08 to 2026-08,2026-08 to 2026-08,2026-08 to 2026-08,N/A,2026-08 to 2026-08,2026-08 to 2026-08,2026-08 to 2026-08,2026-08 to 2026-08
SKYAIUSDT,futures/um,ACTIVE_PERPETUAL,2025-05,2026-08,16,7,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2025-05 to 2026-08,2025-05 to 2026-08,2025-05 to 2026-08,N/A,2025-05 to 2026-08,2025-05 to 2026-08,2025-05 to 2026-08,2025-05 to 2026-08
SKYUSDT,futures/um,ACTIVE_PERPETUAL,2025-09,2026-08,12,7,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2025-09 to 2026-08,2025-09 to 2026-08,2025-09 to 2026-08,N/A,2025-09 to 2026-08,2025-09 to 2026-08,2025-09 to 2026-08,2025-09 to 2026-08
SLERFUSDT,futures/um,DELISTED_HISTORICAL,2024-11,2025-10,12,7,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2024-11 to 2025-10,2024-11 to 2025-10,2024-11 to 2025-10,N/A,2024-11 to 2025-10,2024-11 to 2025-10,2024-11 to 2025-10,2024-11 to 2025-10
SLPUSDT,futures/um,ACTIVE_PERPETUAL,2023-10,2026-08,22,8,aggTrades; bookTicker; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2023-10 to 2026-08,2023-10 to 2026-08,2023-10 to 2026-08,2023-10 to 2024-04,2023-10 to 2026-08,2023-10 to 2026-08,2023-10 to 2026-08,2023-10 to 2026-08
SLPUSDTSETTLED,futures/um,SETTLED,2025-07,2025-07,1,1,klines,N/A,N/A,2025-07 to 2025-07,N/A,N/A,N/A,N/A,N/A
SLXUSDT,futures/um,ACTIVE_PERPETUAL,2026-06,2026-08,3,7,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2026-06 to 2026-08,2026-06 to 2026-08,2026-06 to 2026-08,N/A,2026-06 to 2026-08,2026-06 to 2026-08,2026-06 to 2026-08,2026-06 to 2026-08
SMCIUSDT,futures/um,ACTIVE_PERPETUAL,2026-06,2026-08,3,7,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2026-06 to 2026-08,2026-06 to 2026-08,2026-06 to 2026-08,N/A,2026-06 to 2026-08,2026-06 to 2026-08,2026-06 to 2026-08,2026-06 to 2026-08
SMHUSDT,futures/um,ACTIVE_PERPETUAL,2026-07,2026-08,2,7,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2026-07 to 2026-08,2026-07 to 2026-08,2026-07 to 2026-08,N/A,2026-07 to 2026-08,2026-07 to 2026-08,2026-07 to 2026-08,2026-07 to 2026-08
SNDKUSDT,futures/um,ACTIVE_PERPETUAL,2026-04,2026-08,5,7,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2026-04 to 2026-08,2026-04 to 2026-08,2026-04 to 2026-08,N/A,2026-04 to 2026-08,2026-04 to 2026-08,2026-04 to 2026-08,2026-04 to 2026-08
SNOWUSDT,futures/um,ACTIVE_PERPETUAL,2026-07,2026-08,2,7,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2026-07 to 2026-08,2026-07 to 2026-08,2026-07 to 2026-08,N/A,2026-07 to 2026-08,2026-07 to 2026-08,2026-07 to 2026-08,2026-07 to 2026-08
SNTUSDT,futures/um,DELISTED_HISTORICAL,2023-11,2024-05,7,8,aggTrades; bookTicker; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2023-11 to 2024-05,2023-11 to 2024-05,2023-11 to 2024-05,2023-11 to 2024-04,2023-11 to 2024-05,2023-11 to 2024-05,2023-11 to 2024-05,2023-11 to 2024-05
SNXUSDT,futures/um,ACTIVE_PERPETUAL,2020-08,2026-08,73,8,aggTrades; bookTicker; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2020-08 to 2026-08,2020-08 to 2026-08,2020-08 to 2026-08,2023-05 to 2024-04,2020-08 to 2026-08,2020-08 to 2026-08,2020-08 to 2026-08,2020-08 to 2026-08
SNXXUSDT,futures/um,ACTIVE_PERPETUAL,2026-07,2026-08,2,7,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2026-07 to 2026-08,2026-07 to 2026-08,2026-07 to 2026-08,N/A,2026-07 to 2026-08,2026-07 to 2026-08,2026-07 to 2026-08,2026-07 to 2026-08
SOFIUSDT,futures/um,ACTIVE_PERPETUAL,2026-07,2026-08,2,7,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2026-07 to 2026-08,2026-07 to 2026-08,2026-07 to 2026-08,N/A,2026-07 to 2026-08,2026-07 to 2026-08,2026-07 to 2026-08,2026-07 to 2026-08
SOLBUSD,futures/um,DELISTED_BUSD,2021-09,2023-08,24,8,aggTrades; bookTicker; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2021-09 to 2023-08,2021-09 to 2023-08,2021-09 to 2023-08,2023-05 to 2023-08,2021-09 to 2023-08,2021-09 to 2023-08,2021-09 to 2023-08,2021-09 to 2023-08
SOLUSDC,futures/um,ACTIVE_PERPETUAL,2024-01,2026-08,32,8,aggTrades; bookTicker; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2024-01 to 2026-08,2024-01 to 2026-08,2024-01 to 2026-08,2024-01 to 2024-04,2024-01 to 2026-08,2024-01 to 2026-08,2024-01 to 2026-08,2024-01 to 2026-08
SOLUSDT,futures/um,ACTIVE_PERPETUAL,2020-09,2026-08,72,8,aggTrades; bookTicker; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2020-09 to 2026-08,2020-09 to 2026-08,2020-09 to 2026-08,2023-05 to 2024-04,2020-09 to 2026-08,2020-09 to 2026-08,2020-09 to 2026-08,2020-09 to 2026-08
SOLVUSDT,futures/um,ACTIVE_PERPETUAL,2025-01,2026-08,20,7,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2025-01 to 2026-08,2025-01 to 2026-08,2025-01 to 2026-08,N/A,2025-01 to 2026-08,2025-01 to 2026-08,2025-01 to 2026-08,2025-01 to 2026-08
SOMIUSDT,futures/um,ACTIVE_PERPETUAL,2025-08,2026-08,13,7,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2025-08 to 2026-08,2025-08 to 2026-08,2025-08 to 2026-08,N/A,2025-08 to 2026-08,2025-08 to 2026-08,2025-08 to 2026-08,2025-08 to 2026-08
SONICUSDT,futures/um,ACTIVE_PERPETUAL,2025-01,2026-08,20,7,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2025-01 to 2026-08,2025-01 to 2026-08,2025-01 to 2026-08,N/A,2025-01 to 2026-08,2025-01 to 2026-08,2025-01 to 2026-08,2025-01 to 2026-08
SONYUSDT,futures/um,ACTIVE_PERPETUAL,2026-06,2026-08,3,7,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2026-06 to 2026-08,2026-06 to 2026-08,2026-06 to 2026-08,N/A,2026-06 to 2026-08,2026-06 to 2026-08,2026-06 to 2026-08,2026-06 to 2026-08
SOONUSDT,futures/um,ACTIVE_PERPETUAL,2025-05,2026-08,16,7,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2025-05 to 2026-08,2025-05 to 2026-08,2025-05 to 2026-08,N/A,2025-05 to 2026-08,2025-05 to 2026-08,2025-05 to 2026-08,2025-05 to 2026-08
SOPHUSDT,futures/um,ACTIVE_PERPETUAL,2025-05,2026-08,16,7,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2025-05 to 2026-08,2025-05 to 2026-08,2025-05 to 2026-08,N/A,2025-05 to 2026-08,2025-05 to 2026-08,2025-05 to 2026-08,2025-05 to 2026-08
SOXLUSDT,futures/um,ACTIVE_PERPETUAL,2026-05,2026-08,4,7,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2026-05 to 2026-08,2026-05 to 2026-08,2026-05 to 2026-08,N/A,2026-05 to 2026-08,2026-05 to 2026-08,2026-05 to 2026-08,2026-05 to 2026-08
SOXSUSDT,futures/um,ACTIVE_PERPETUAL,2026-07,2026-08,2,7,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2026-07 to 2026-08,2026-07 to 2026-08,2026-07 to 2026-08,N/A,2026-07 to 2026-08,2026-07 to 2026-08,2026-07 to 2026-08,2026-07 to 2026-08
SPACEUSDT,futures/um,ACTIVE_PERPETUAL,2026-01,2026-08,8,7,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2026-01 to 2026-08,2026-01 to 2026-08,2026-01 to 2026-08,N/A,2026-01 to 2026-08,2026-01 to 2026-08,2026-01 to 2026-08,2026-01 to 2026-08
SPCXUSD1,futures/um,ACTIVE_PERPETUAL,2026-07,2026-08,2,7,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2026-07 to 2026-08,2026-07 to 2026-08,2026-07 to 2026-08,N/A,2026-07 to 2026-08,2026-07 to 2026-08,2026-07 to 2026-08,2026-07 to 2026-08
SPCXUSDT,futures/um,ACTIVE_PERPETUAL,2026-05,2026-08,4,7,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2026-05 to 2026-08,2026-05 to 2026-08,2026-05 to 2026-08,N/A,2026-05 to 2026-08,2026-05 to 2026-08,2026-05 to 2026-08,2026-05 to 2026-08
SPELLUSDT,futures/um,ACTIVE_PERPETUAL,2022-09,2026-08,48,8,aggTrades; bookTicker; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2022-09 to 2026-08,2022-09 to 2026-08,2022-09 to 2026-08,2023-05 to 2024-04,2022-09 to 2026-08,2022-09 to 2026-08,2022-09 to 2026-08,2022-09 to 2026-08
SPKUSDT,futures/um,ACTIVE_PERPETUAL,2025-06,2026-08,15,7,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2025-06 to 2026-08,2025-06 to 2026-08,2025-06 to 2026-08,N/A,2025-06 to 2026-08,2025-06 to 2026-08,2025-06 to 2026-08,2025-06 to 2026-08
SPORTFUNUSDT,futures/um,ACTIVE_PERPETUAL,2026-01,2026-08,8,7,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2026-01 to 2026-08,2026-01 to 2026-08,2026-01 to 2026-08,N/A,2026-01 to 2026-08,2026-01 to 2026-08,2026-01 to 2026-08,2026-01 to 2026-08
SPXUSDT,futures/um,ACTIVE_PERPETUAL,2024-12,2026-08,21,7,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2024-12 to 2026-08,2024-12 to 2026-08,2024-12 to 2026-08,N/A,2024-12 to 2026-08,2024-12 to 2026-08,2024-12 to 2026-08,2024-12 to 2026-08
SPYUSDT,futures/um,ACTIVE_PERPETUAL,2026-04,2026-08,5,7,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2026-04 to 2026-08,2026-04 to 2026-08,2026-04 to 2026-08,N/A,2026-04 to 2026-08,2026-04 to 2026-08,2026-04 to 2026-08,2026-04 to 2026-08
SQDUSDT,futures/um,ACTIVE_PERPETUAL,2025-06,2026-08,15,7,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2025-06 to 2026-08,2025-06 to 2026-08,2025-06 to 2026-08,N/A,2025-06 to 2026-08,2025-06 to 2026-08,2025-06 to 2026-08,2025-06 to 2026-08
SQQQUSDT,futures/um,ACTIVE_PERPETUAL,2026-06,2026-08,3,7,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2026-06 to 2026-08,2026-06 to 2026-08,2026-06 to 2026-08,N/A,2026-06 to 2026-08,2026-06 to 2026-08,2026-06 to 2026-08,2026-06 to 2026-08
SRMUSDT,futures/um,DELISTED_HISTORICAL,2020-09,2022-11,27,7,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2020-09 to 2022-11,2020-09 to 2022-11,2020-09 to 2022-11,N/A,2020-09 to 2022-11,2020-09 to 2022-11,2020-09 to 2022-11,2020-09 to 2022-11
SSVUSDT,futures/um,ACTIVE_PERPETUAL,2023-02,2026-08,43,8,aggTrades; bookTicker; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2023-02 to 2026-08,2023-02 to 2026-08,2023-02 to 2026-08,2023-05 to 2024-04,2023-02 to 2026-08,2023-02 to 2026-08,2023-02 to 2026-08,2023-02 to 2026-08
STABLEUSDT,futures/um,ACTIVE_PERPETUAL,2025-11,2026-08,10,7,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2025-11 to 2026-08,2025-11 to 2026-08,2025-11 to 2026-08,N/A,2025-11 to 2026-08,2025-11 to 2026-08,2025-11 to 2026-08,2025-11 to 2026-08
STARUSDT,futures/um,ACTIVE_PERPETUAL,2026-05,2026-08,4,7,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2026-05 to 2026-08,2026-05 to 2026-08,2026-05 to 2026-08,N/A,2026-05 to 2026-08,2026-05 to 2026-08,2026-05 to 2026-08,2026-05 to 2026-08
STBLUSDT,futures/um,ACTIVE_PERPETUAL,2025-09,2026-08,12,7,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2025-09 to 2026-08,2025-09 to 2026-08,2025-09 to 2026-08,N/A,2025-09 to 2026-08,2025-09 to 2026-08,2025-09 to 2026-08,2025-09 to 2026-08
STEEMUSDT,futures/um,ACTIVE_PERPETUAL,2023-11,2026-08,34,8,aggTrades; bookTicker; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2023-11 to 2026-08,2023-11 to 2026-08,2023-11 to 2026-08,2023-11 to 2024-04,2023-11 to 2026-08,2023-11 to 2026-08,2023-11 to 2026-08,2023-11 to 2026-08
STGUSDT,futures/um,ACTIVE_PERPETUAL,2022-08,2026-08,49,8,aggTrades; bookTicker; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2022-08 to 2026-08,2022-08 to 2026-08,2022-08 to 2026-08,2023-05 to 2024-04,2022-08 to 2026-08,2022-08 to 2026-08,2022-08 to 2026-08,2022-08 to 2026-08
STMXUSDT,futures/um,DELISTED_HISTORICAL,2021-03,2025-02,48,8,aggTrades; bookTicker; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2021-03 to 2025-02,2021-03 to 2025-02,2021-03 to 2025-02,2023-05 to 2024-04,2021-03 to 2025-02,2021-03 to 2025-02,2021-03 to 2025-02,2021-03 to 2025-02
STORJUSDT,futures/um,ACTIVE_PERPETUAL,2020-09,2026-08,72,8,aggTrades; bookTicker; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2020-09 to 2026-08,2020-09 to 2026-08,2020-09 to 2026-08,2023-05 to 2024-04,2020-09 to 2026-08,2020-09 to 2026-08,2020-09 to 2026-08,2020-09 to 2026-08
STOUSDT,futures/um,ACTIVE_PERPETUAL,2025-04,2026-08,17,7,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2025-04 to 2026-08,2025-04 to 2026-08,2025-04 to 2026-08,N/A,2025-04 to 2026-08,2025-04 to 2026-08,2025-04 to 2026-08,2025-04 to 2026-08
STPTUSDT,futures/um,DELISTED_HISTORICAL,2023-10,2024-05,8,8,aggTrades; bookTicker; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2023-10 to 2024-05,2023-10 to 2024-05,2023-10 to 2024-05,2023-10 to 2024-04,2023-10 to 2024-05,2023-10 to 2024-05,2023-10 to 2024-05,2023-10 to 2024-05
STRAXUSDT,futures/um,DELISTED_HISTORICAL,2023-10,2024-03,6,8,aggTrades; bookTicker; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2023-10 to 2024-03,2023-10 to 2024-03,2023-10 to 2024-03,2023-10 to 2024-03,2023-10 to 2024-03,2023-10 to 2024-03,2023-10 to 2024-03,2023-10 to 2024-03
STRCUSDT,futures/um,ACTIVE_PERPETUAL,2026-07,2026-08,2,7,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2026-07 to 2026-08,2026-07 to 2026-08,2026-07 to 2026-08,N/A,2026-07 to 2026-08,2026-07 to 2026-08,2026-07 to 2026-08,2026-07 to 2026-08
STRKUSDT,futures/um,ACTIVE_PERPETUAL,2024-02,2026-08,31,8,aggTrades; bookTicker; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2024-02 to 2026-08,2024-02 to 2026-08,2024-02 to 2026-08,2024-02 to 2024-04,2024-02 to 2026-08,2024-02 to 2026-08,2024-02 to 2026-08,2024-02 to 2026-08
STXUSDT,futures/um,ACTIVE_PERPETUAL,2023-02,2026-08,43,8,aggTrades; bookTicker; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2023-02 to 2026-08,2023-02 to 2026-08,2023-02 to 2026-08,2023-05 to 2024-04,2023-02 to 2026-08,2023-02 to 2026-08,2023-02 to 2026-08,2023-02 to 2026-08
STXXUSDT,futures/um,ACTIVE_PERPETUAL,2026-06,2026-08,3,7,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2026-06 to 2026-08,2026-06 to 2026-08,2026-06 to 2026-08,N/A,2026-06 to 2026-08,2026-06 to 2026-08,2026-06 to 2026-08,2026-06 to 2026-08
SUIUSDC,futures/um,ACTIVE_PERPETUAL,2024-02,2026-08,31,8,aggTrades; bookTicker; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2024-02 to 2026-08,2024-02 to 2026-08,2024-02 to 2026-08,2024-02 to 2024-04,2024-02 to 2026-08,2024-02 to 2026-08,2024-02 to 2026-08,2024-02 to 2026-08
SUIUSDT,futures/um,ACTIVE_PERPETUAL,2023-05,2026-08,40,8,aggTrades; bookTicker; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2023-05 to 2026-08,2023-05 to 2026-08,2023-05 to 2026-08,2023-05 to 2024-04,2023-05 to 2026-08,2023-05 to 2026-08,2023-05 to 2026-08,2023-05 to 2026-08
SUNUSDT,futures/um,ACTIVE_PERPETUAL,2024-08,2026-08,25,7,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2024-08 to 2026-08,2024-08 to 2026-08,2024-08 to 2026-08,N/A,2024-08 to 2026-08,2024-08 to 2026-08,2024-08 to 2026-08,2024-08 to 2026-08
SUPERUSDT,futures/um,ACTIVE_PERPETUAL,2023-11,2026-08,34,8,aggTrades; bookTicker; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2023-11 to 2026-08,2023-11 to 2026-08,2023-11 to 2026-08,2023-11 to 2024-04,2023-11 to 2026-08,2023-11 to 2026-08,2023-11 to 2026-08,2023-11 to 2026-08
SUSDT,futures/um,ACTIVE_PERPETUAL,2025-01,2026-08,20,7,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2025-01 to 2026-08,2025-01 to 2026-08,2025-01 to 2026-08,N/A,2025-01 to 2026-08,2025-01 to 2026-08,2025-01 to 2026-08,2025-01 to 2026-08
SUSHIUSDT,futures/um,ACTIVE_PERPETUAL,2020-09,2026-08,72,8,aggTrades; bookTicker; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2020-09 to 2026-08,2020-09 to 2026-08,2020-09 to 2026-08,2023-05 to 2024-04,2020-09 to 2026-08,2020-09 to 2026-08,2020-09 to 2026-08,2020-09 to 2026-08
SWARMSUSDT,futures/um,ACTIVE_PERPETUAL,2025-01,2026-08,20,7,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2025-01 to 2026-08,2025-01 to 2026-08,2025-01 to 2026-08,N/A,2025-01 to 2026-08,2025-01 to 2026-08,2025-01 to 2026-08,2025-01 to 2026-08
SWELLUSDT,futures/um,DELISTED_HISTORICAL,2024-11,2025-11,13,7,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2024-11 to 2025-11,2024-11 to 2025-11,2024-11 to 2025-11,N/A,2024-11 to 2025-11,2024-11 to 2025-11,2024-11 to 2025-11,2024-11 to 2025-11
